Tipster,Horse,Bet Type,Odds,Result,TipsterActive
Tipster A,Crosspark,Win,3,Lose,TRUE
Tipster A,Saint Raph,Win,4,Lose,TRUE
Tipster A,The Gay Cavalier,Win,4,Lose,TRUE
Tipster A,Cottesloe,Each Way,11,Lose,TRUE
Tipster A,Tara Mist,Win,5,Lose,TRUE
Tipster A,Moscow Me,Win,3,Lose,TRUE
Tipster A,Kings Apollo,Each Way,11,Lose,TRUE
Tipster A,Nebula Storm,Win,4,Lose,TRUE
Tipster A,Aldeburgh,Each Way,9,Lose,TRUE
Tipster A,St Dominick,Each Way,6.5,Lose,TRUE
Tipster A,Label Des Obeaux,Each Way,4.5,Win,TRUE
Tipster A,Never Says Never,Win,2,Lose,TRUE
Tipster A,Ejayteekay,Each Way,5.5,Lose,TRUE
Tipster A,Little Sweetheart,Each Way,4,Win,TRUE
Tipster A,Bobs Lady Tamure,Each Way,17,Lose,TRUE
Tipster A,Vibrato Valtat,Win,3,Lose,TRUE
Tipster A,Quatrieme Ami,Each Way,5,Win,TRUE
Tipster A,Empire Of Dirt,Win,4.5,Lose,TRUE
Tipster A,La Bague Au Roi,Win,1.91,Win,TRUE
Tipster A,Enaad,Win,2.25,Win,TRUE
Tipster A,Mighty Zip,Each Way,6,Win,TRUE
Tipster A,Supersta,Win,2.1,Win,TRUE
Tipster A,Grey Destiny,Each Way,5,Lose,TRUE
Tipster A,Baywing,Win,2.75,Win,TRUE
Tipster A,Tigers Home,Win,3,Lose,TRUE
Tipster A,April Dusk,Win,3,Win,TRUE
Tipster A,Silver Quay,Win,2.25,Lose,TRUE
Tipster A,Big Time,Win,3,Lose,TRUE
Tipster A,Outer Space,Win,5,Lose,TRUE
Tipster A,Capilla,Win,2.2,Lose,TRUE
Tipster A,Sidbury Hill,Win,3.5,Lose,TRUE
Tipster A,Cyclop,Win,3,Win,TRUE
Tipster A,A Hare Breath,Win,3.25,Lose,TRUE
Tipster A,One Track Mind,Each Way,4.33,Lose,TRUE
Tipster A,Holly Bush Henry,Win,3.5,Win,TRUE
Tipster A,Sceau Royal,Win,3.5,Win,TRUE
Tipster A,Tenor Nivernais,Each Way,13,Win,TRUE
Tipster A,Final Nudge,Win,7.5,Lose,TRUE
Tipster A,Grey Destiny,Win,5.5,Win,TRUE
Tipster A,Penn Lane,Win,3,Lose,TRUE
Tipster A,All You Need,Each Way,5,Lose,TRUE
Tipster A,Ruby Rambler,Win,3.75,Win,TRUE
Tipster A,Never Equalled,Each Way,6,Win,TRUE
Tipster A,Quality Song,Win,2.62,Lose,TRUE
Tipster A,Wharane,Each Way,12,Lose,TRUE
Tipster A,Sacred Trust,Win,3.5,Lose,TRUE
Tipster A,Double Shuffle,Win,5,Win,TRUE
Tipster A,Sirens Cove,Win,5.5,Lose,TRUE
Tipster A,Big Chief Benny,Win,3.25,Lose,TRUE
Tipster A,Severini,Win,1.73,Win,TRUE
Tipster A,Kylemore Lough,Win,3,Win,TRUE
Tipster A,Our Cat,Win,5.5,Lose,TRUE
Tipster A,Serenity Now,Each Way,4.33,Lose,TRUE
Tipster A,Duke Des Champs,Each Way,7,Win,TRUE
Tipster A,Take The Helm,Each Way,6,Win,TRUE
Tipster A,Oscar Dominguez,Win,3.5,Win,TRUE
Tipster A,Barye,Each Way,8,Win,TRUE
Tipster A,Grendisar,Win,3.75,Lose,TRUE
Tipster A,Winner Massagot,Each Way,7,Lose,TRUE
Tipster A,Wings Attract,Win,3.75,Lose,TRUE
Tipster A,Koreen,Each Way,5,Lose,TRUE
Tipster A,Warrantor,Win,5,Win,TRUE
Tipster A,Fast Sprite,Win,4,Lose,TRUE
Tipster A,Yul Finegold,Win,3.5,Lose,TRUE
Tipster A,Next Edition,Each Way,7,Lose,TRUE
Tipster A,Coney Island,Win,3,Win,TRUE
Tipster A,Bollin Ace,Each Way,5,Lose,TRUE
Tipster A,Dont Touch It,Win,4.5,Lose,TRUE
Tipster A,Open Eagle,Win,4.5,Lose,TRUE
Tipster A,Horsted Keynes,Each Way,7,Lose,TRUE
Tipster A,Ttebbob,Win,5,Lose,TRUE
Tipster A,Matorico,Each Way,9,Lose,TRUE
Tipster A,Ar Mad,Win,4,Win,TRUE
Tipster A,Petit Mouchoir,Each Way,13,Win,TRUE
Tipster A,Woodland Opera,Each Way,8,Lose,TRUE
Tipster A,Rossvoss,Each Way,15,Lose,TRUE
Tipster A,Desert Queen,Win,2.75,Lose,TRUE
Tipster A,Tippmanboy,Each Way,4.5,Lose,TRUE
Tipster A,Jimmy Two Times,Each Way,17,Lose,TRUE
Tipster A,Gabrial The Hero,Each Way,8,Win,TRUE
Tipster A,Spiritual Star,Each Way,10,Lose,TRUE
Tipster A,Northside Prince,Each Way,10,Win,TRUE
Tipster A,Go Long,Win,2.5,Lose,TRUE
Tipster A,Kalane,Win,3.25,Lose,TRUE
Tipster A,Archaic,Win,2.5,Lose,TRUE
Tipster A,Friendly Royal,Win,3.25,Lose,TRUE
Tipster A,Nansaroy,Win,2.38,Lose,TRUE
Tipster A,Seraphima,Each Way,17,Lose,TRUE
Tipster A,Ghost Train,Each Way,7,Win,TRUE
Tipster A,Cambodia,Win,3.25,Lose,TRUE
Tipster A,Ice Cool,Win,2.62,Win,TRUE
Tipster A,Preseli Rock,Each Way,13,Win,TRUE
Tipster A,Singlefarmpayment,Each Way,9,Win,TRUE
Tipster A,Winning Spark,Each Way,5,Lose,TRUE
Tipster A,Crosse Fire,Each Way,4.5,Win,TRUE
Tipster A,Two Moons,Each Way,5.5,Lose,TRUE
Tipster A,Arthurs Oak,Win,5,Lose,TRUE
Tipster A,Shootingsta,Win,3.5,Lose,TRUE
Tipster A,Grey Destiny,Win,3.25,Lose,TRUE
Tipster A,Money Team,Win,2.88,Win,TRUE
Tipster A,Coreczka,Each Way,6.5,Lose,TRUE
Tipster A,Patriotic,Win,2,Win,TRUE
Tipster A,Westwood Hoe,Win,3.5,Lose,TRUE
Tipster A,Swift Cedar,Win,3,Lose,TRUE
Tipster A,Miss Understood,Each Way,4.5,Lose,TRUE
Tipster A,Qasser,Each Way,11,Lose,TRUE
Tipster A,Lawyer,Each Way,5.5,Lose,TRUE
Tipster A,Happy Diva,Win,2.5,Lose,TRUE
Tipster A,Le Bernardin,Win,7,Win,TRUE
Tipster A,Surfer,Win,6,Lose,TRUE
Tipster A,One Man Band,Win,2.75,Win,TRUE
Tipster A,Go Charlie,Each Way,8,Lose,TRUE
Tipster A,Barye,Win,2.25,Win,TRUE
Tipster A,Geological,Each Way,7,Win,TRUE
Tipster A,Arctic Skipper,Win,3.25,Lose,TRUE
Tipster A,Never Equalled,Each Way,7,Win,TRUE
Tipster A,Mountainous,Win,10,Win,TRUE
Tipster A,Cogry,Win,8,Lose,TRUE
Tipster A,Diamoned King,Win,2.62,Win,TRUE
Tipster A,Matchaway,Win,3,Lose,TRUE
Tipster A,Tocororo,Win,2.62,Win,TRUE
Tipster A,Philba,Win,4.5,Lose,TRUE
Tipster A,Effusive,Win,2.1,Lose,TRUE
Tipster A,Roman De Brut,Win,3.75,Lose,TRUE
Tipster A,Royal Normandy,Win,3.75,Lose,TRUE
Tipster A,Red Rannagh,Win,7,Lose,TRUE
Tipster A,Money Team,Win,2.38,Lose,TRUE
Tipster A,Winning Spark,Each Way,6,Win,TRUE
Tipster A,Chookie Royale,Win,2.38,Win,TRUE
Tipster A,Muhtaram,Each Way,6.5,Lose,TRUE
Tipster A,San Quentin,Win,3.75,Win,TRUE
Tipster A,Steal The Scene,Each Way,4.33,Lose,TRUE
Tipster A,Rich Again,Each Way,7.5,Lose,TRUE
Tipster A,Believe It,Win,3.25,Lose,TRUE
Tipster A,Tullow Tonic,Each Way,6,Lose,TRUE
Tipster A,Kingscourt Native,Each Way,13,Lose,TRUE
Tipster A,Thomas Hobson,Win,6.5,Win,TRUE
Tipster A,Joshua Lane,Each Way,12,Lose,TRUE
Tipster A,Our Duke,Win,3.5,Win,TRUE
Tipster A,Colla Pier,Each Way,21,Lose,TRUE
Tipster A,After Rain,Each Way,7,Lose,TRUE
Tipster A,Royal Normandy,Win,2.62,Lose,TRUE
Tipster A,Go Charlie,Each Way,8.5,Lose,TRUE
Tipster A,Boolass,Win,3.75,Lose,TRUE
Tipster A,Infrontofthejudge,Each Way,4,Lose,TRUE
Tipster A,Kemsing,Win,2.88,Lose,TRUE
Tipster A,Fearbuster,Win,2.25,Lose,TRUE
Tipster A,Teo Vivo,Win,10,Lose,TRUE
Tipster A,Zaidiyn,Win,4.5,Lose,TRUE
